time_s,I,II,III
0,-0.0484186801472262,0.0171533016727637,0.065538923176438
0.0009765625,-0.0491141970996173,0.0139986714800715,0.0631091874879456
0.001953125,-0.0498632153560384,0.00768941109468717,0.0576103119824104
0.0029296875,-0.0506122336124596,0.004534780901995,0.055116635881063
0.00390625,-0.0541433196784452,-0.00400900920321297,0.0501292836783682
0.0048828125,-0.0545713301106859,-0.00598065307364558,0.0485947137698467
0.005859375,-0.0548388366308363,-0.00992394081451079,0.0448861698242531
0.0068359375,-0.0548388366308363,-0.00992394081451079,0.0448861698242531
0.0078125,-0.0546248314147159,-0.0117641417602479,0.0428400766128912
0.0087890625,-0.0512007479567906,-0.00683503208416638,0.0443746465214126
0.009765625,-0.0535013040300842,-0.00985821935216304,0.043671301980007
0.0107421875,-0.052752285773663,-0.00939816911572877,0.0433515999157317
0.01171875,-0.0518962649091816,-0.00578348868660232,0.0461010376684993
0.0126953125,-0.054036317070385,-0.0111069271367704,0.0429679574386013
0.013671875,-0.0533408001179939,-0.00801801840642594,0.0453337527142386
0.0146484375,-0.0528057870776931,-0.0144587217165058,0.0383003073001818
0.015625,-0.0524847792535126,-0.0160360368128519,0.036446035327385
0.0166015625,-0.0524312779494825,-0.0187306167691098,0.0336965975746174
0.017578125,-0.0526452831656028,-0.0225424615852795,0.0301159344547339
0.0185546875,-0.0530732935978435,-0.0274058497990133,0.0256401055548796
0.01953125,-0.0537153092462045,-0.0302975941423144,0.0234021911049525
0.0205078125,-0.0545178288066558,-0.0396957632580432,0.0148341757823743
0.021484375,-0.0583164213927917,-0.0494225396855107,0.00888771738685354
0.0224609375,-0.0592259435613032,-0.0562575717696771,0.00300519940418789
0.0234375,-0.062917533539379,-0.0684817637663593,-0.00556281591839034
0.0244140625,-0.06355954918774,-0.0741338095282661,-0.0105501681210851
0.025390625,-0.0639875596199807,-0.0846492435039066,-0.0207166937650399
0.0263671875,-0.0611519905063862,-0.0852407366650364,-0.0240415952335031
0.02734375,-0.061044987898326,-0.08747526638486,-0.0264713309219954
0.0283203125,-0.0606169774660854,-0.091484275588073,-0.0308832194089947
0.029296875,-0.0599749618177244,-0.0973992071993708,-0.0374051415202109
0.0302734375,-0.059118940953243,-0.0995680154568467,-0.0404103409243988
0.03125,-0.0581559174807015,-0.0954275633289382,-0.0372772606945008
0.0322265625,-0.05719289400816,-0.091221389738682,-0.0340162996388927
0.033203125,-0.0504517297003694,-0.0726879373566155,-0.0222512636735614
0.0341796875,-0.0409284975830144,-0.0490282109114242,-0.00805649201973774
0.03515625,-0.0287302002641552,-0.0262885849391014,0.00242973568849233
0.0361328125,-0.0167459081614163,-0.00486338821373377,0.0119568572038965
0.037109375,-0.00219355346523345,0.00650642477242761,0.00869589614828836
0.0380859375,0.00625965257151985,0.0107125983626838,0.0044758288998543
0.0390625,0.0173344225057473,0.0107783198250316,-0.00652192211121627
0.0400390625,0.031137758945509,0.0158388724258086,-0.0153456990852147
0.041015625,0.0418380197515258,0.0202422104031081,-0.0216118595450108
0.0419921875,0.0554808522791973,0.0331893384856156,-0.0222512636735614
0.04296875,0.0691236848068687,0.049356818223163,-0.019757587572214
0.0439453125,0.0917547364115944,0.077879932882088,-0.0138111291766933
0.044921875,0.120431435371719,0.116195545430828,-0.00422006724843406
0.0458984375,0.14643306913034,0.155759865764176,0.00933530027683897
0.046875,0.178640854156451,0.214383410178372,0.0357426907859793
0.0478515625,0.208280576589118,0.289108712867768,0.0808206818487977
0.048828125,0.238187805541935,0.376912586564367,0.138750695895483
0.0498046875,0.262477397571593,0.468725469464179,0.206271771870428
0.05078125,0.289923566539026,0.573091151672411,0.283192088535067
0.0517578125,0.31153809336718,0.671936231043433,0.360432107263981
0.052734375,0.333152620195334,0.782414009250007,0.449245340719662
0.0537109375,0.351664071389743,0.889342828489802,0.537674931698212
0.0546875,0.375846660811341,1.01283345624123,0.636974392862122
0.0556640625,0.399654741104729,1.13494393328336,0.735250807420351
0.056640625,0.4319695287389,1.26428377118374,0.832312354134335
0.0576171875,0.466852378966514,1.39493803833107,0.928095092591217
0.05859375,0.498471649648294,1.52690673472536,1.02848154077366
0.0595703125,0.526827340784239,1.65171179172374,1.12483974294624
0.060546875,0.546248314147159,1.76968181663796,1.22337191915589
0.0615234375,0.556788071041086,1.8900178141967,1.33322154844089
0.0625,0.543894256769836,2.00154713580084,1.45764959185684
0.0634765625,0.522333231245712,2.09894634300021,1.57657875976725
0.064453125,0.498097140520084,2.14166529352625,1.64358831243935
0.0654296875,0.47701762673223,2.13009831615304,1.65311543395476
0.06640625,0.453316549046903,2.07922990429588,1.6258768180785
0.0673828125,0.432986053515471,2.02126357450516,1.58827985531973
0.068359375,0.401206278921601,1.93858597487169,1.5373832866871
0.0693359375,0.366858441734287,1.83993805988771,1.47305923135491
0.0703125,0.329835539345469,1.7189448477055,1.38910546927621
0.0712890625,0.289977067843056,1.57816947535661,1.28814355737807
0.072265625,0.247283027227049,1.43174205724581,1.18443220772716
0.0732421875,0.198703843167733,1.27907110021198,1.08040115601197
0.07421875,0.149910653892296,1.12561148562998,0.975730700168238
0.0751953125,0.0950183159574295,0.962096487308765,0.867095938727488
0.076171875,0.0426940406160072,0.794046708085559,0.751363791459827
0.0771484375,0.00176554303299278,0.64775073289946,0.645989991074686
0.078125,-0.0308167511213285,0.53188379478037,0.562675633124541
0.0791015625,-0.0548923379348664,0.458341478413234,0.513249693987578
0.080078125,-0.0734037891292755,0.412862226468588,0.486266839762742
0.0810546875,-0.0862441020964957,0.381184481616971,0.467468358383354
